mouse,human
Odad2,ODAD2
Dcph1,DCPH1
Arnt,ARNT
Arnt2,ARNT2
Bmal1,BMAL1
Bmal2,BMAL2
Ddc,DDC
Arpc5,ARPC5
Arpc5l,ARPC5L
Arpp19,ARPP19
Arr3,ARR3
Arrb2,ARRB2
Arrdc1,ARRDC1
Arrb1,ARRB1
Arrdc3,ARRDC3
Sag,SAG
Srrt,SRRT
Arsi,ARSI
Arx,ARX
Asah1,ASAH1
Asap1,ASAP1
Asb12,ASB12
Asb13,ASB13
Asb14,ASB14
Asf1b,ASF1B
Asf1a,ASF1A
Asb2,ASB2
Asb5,ASB5
Slc10a2,SLC10A2
Clec10a,CLEC10A
Asgr1,ASGR1
Asgr2,ASGR2
Ascl1,ASCL1
Pard3,PARD3
a,ASIP
Map3k5,MAP3K5
Lhfpl5,LHFPL5
Get3,GET3
Aspn,ASPN
Trp53bp2,TP53BP2
Ass1,ASS1
Robo2,ROBO2
Aste1,ASTE1
Slc17a8,SLC17A8
Ints13,INTS13
Atad1,ATAD1
Prr15l,PRR15L
Ubqln4,UBQLN4
Dtd2,DTD2
Atf2,ATF2
Atf4,ATF4
Pnpla2,PNPLA2
Atoh1,ATOH1
Atoh7,ATOH7
Pgghg,PGGHG
Dtna,DTNA
Neurod6,NEUROD6
Neurog3,NEUROG3
Atp1a1,ATP1A1
Atp1b2,ATP1B2
Atp1b3,ATP1B3
Atp2a2,ATP2A2
Atp2b3,ATP2B3
Atp5f1a,ATP5F1A
Atp5f1b,ATP5F1B
Atp5f1c,ATP5F1C
Atp5f1d,ATP5F1D
Atp5pb,ATP5PB
Atp5mc3,ATP5MC3
Atp5mc1,ATP5MC1
Atp5pd,ATP5PD
Atp5me,ATP5ME
Atp5pf,ATP5PF
Atp5mf,ATP5MF
Atp5mj,ATP5MJ
Atp5po,ATP5PO
Dmac2l,DMAC2L
mt-Atp6,ATP6
Atp6ap1,ATP6AP1
Atp6ap1l,ATP6AP1L
Atp6v1e2,ATP6V1E2
Atp6v1e1,ATP6V1E1
Atp6v0c,ATP6V0C
Atp6v0a1,ATP6V0A1
Atp6v0e,ATP6V0E1
Atp6v1a,ATP6V1A
Atp6v1b2,ATP6V1B2
Atp6v1c1,ATP6V1C1
Atp1a2,ATP1A2
Atp1a3,ATP1A3
Gpn2,GPN2
Gpn3,GPN3
Dph6,DPH6
Atp5if1,ATP5IF1
Antkmt,ANTKMT
Aldh7a1,ALDH7A1
Antxr2,ANTXR2
Atrnl1,ATRNL1
Fbxo32,FBXO32
Rere,RERE
Enpp2,ENPP2
Atxn1,ATXN1
Atxn7l2,ATXN7L2
Atxn7l3,ATXN7L3
Alkal2,ALKAL2
Alkal1,ALKAL1
Thrsp,THRSP
Aurkc,AURKC
Aurkb,AURKB
Auts2,AUTS2
Dnajc6,DNAJC6
Avpr1a,AVPR1A
Avpr2,AVPR2
Zfand6,ZFAND6
Foxa2,FOXA2
Axin2,AXIN2
Marchf7,MARCHF7
Csrnp1,CSRNP1
Lpcat1,LPCAT1
Glra1,GLRA1
Glra4,GLRA4
Cep131,CEP131
Azin1,AZIN1
Oaz1,OAZ1
Oaz2,OAZ2
B3galt1,B3GALT1
B3glct,B3GLCT
B3gat1,B3GAT1
B4gat1,B4GAT1
B3gnt3,B3GNT3
B3gnt5,B3GNT5
Qtgal,QTGAL
B4galnt2,B4GALNT2
Hbb-y,HBE1
Baalc,BAALC
Bace2,BACE2
Bach1,BACH1
Bach2,BACH2
Otop1,OTOP1
Bad,BAD
Itga3,ITGA3
Smarcc2,SMARCC2
Actl6a,ACTL6A
Smarce1,SMARCE1
Smarcd1,SMARCD1
Tnfsf13b,TNFSF13B
Bahcc1,BAHCC1
Adgrb1,ADGRB1
Adgrb2,ADGRB2
Adgrb3,ADGRB3
Magi1,MAGI1
Baiap2l1,BAIAP2L1
Baiap2l2,BAIAP2L2
Chat,CHAT
Lama1,LAMA1
Bambi,BAMBI
Stom,STOM
Glrb,GLRB
Cse1l,CSE1L
Heatr1,HEATR1
Nkx3-2,NKX3-2
Ubiad1,UBIAD1
Barhl1,BARHL1
Cel,CEL
Ddx39b,DDX39B
Bag6,BAG6
Abhd16b,ABHD16B
Abhd16a,ABHD16A
Ehmt2,EHMT2
Bax,BAX
Gapdhrt2,GAPDH
Rpl7,RPL7
Bbip1,BBIP1
Bbof1,BBOF1
Mapkapk2,MAPKAPK2
Trim32,TRIM32
Arl6,ARL6
Mkks,MKKS
Ttc8,TTC8
Blcap,BLCAP
Chmp2a,CHMP2A
Phb2,PHB2
Mepce,MEPCE
Bco1,BCO1
Bco2,BCO2
Ckb,CKB
Bcl11a,BCL11A
Bcl11b,BCL11B
Bcl2,BCL2
Bcl2l1,BCL2L1
Bcl6,BCL6
Bcl7b,BCL7B
Bcl9l,BCL9L
Bdkrb1,BDKRB1
Dll3,DLL3
Itga5,ITGA5
Lhx2,LHX2
Psmb6,PSMB6
Itgb1,ITGB1
Psmb9,PSMB9
Psmb7,PSMB7
Psmb10,PSMB10
Neurod1,NEUROD1
Bhlhe22,BHLHE22
Bhlhe23,BHLHE23
Psmb5,PSMB5
Psmb8,PSMB8
Psmb11,PSMB11
H2-Ob,HLA-DOB
Napb,NAPB
Cfb,CFB
Foxg1,FOXG1
Fabp7,FABP7
Adgrg6,ADGRG6
Bgn,BGN
Bhlhe40,BHLHE40
Bhlhe41,BHLHE41
Bhlha15,BHLHA15
Tmbim6,TMBIM6
Cdh2,CDH2
Bicdl1,BICDL1
Bicc1,BICC1
Bicd2,BICD2
Bid,BID
Tgfbi,TGFBI
Klf17,KLF17
Bcl2l11,BCL2L11
Bin1,BIN1
Bin2,BIN2
Zbtb22,ZBTB22
Wdr46,WDR46
Hspa5,HSPA5
Slc12a7,SLC12A7
Birc3,BIRC3
Birc2,BIRC2
Frem2,FREM2
Slc37a2,SLC37A2
Prdm1,PRDM1
Ptch1,PTCH1
Ptch2,PTCH2
Ltb4r1,LTB4R
Ltb4r2,LTB4R2
Blk,BLK
Slc17a6,SLC17A6
Kat6a,KAT6A
Bmp10,BMP10
Gdf11,GDF11
Gdf7,GDF7
Gdf6,GDF6
Gdf5,GDF5
Bmp2,BMP2
Gdf10,GDF10
Bmp4,BMP4
Bmp5,BMP5
Bmp7,BMP7
Gdf2,GDF2
Bms1,BMS1
Samtor,SAMTOR
Mybl2,MYBL2
Bnip3l,BNIP3L
Atcay,ATCAY
Bnc2,BNC2
Nppb,NPPB
Bok,BOK
Mixl1,MIXL1
Ifitm5,IFITM5
Bcl2l10,BCL2L10
Extl3,EXTL3
Dst,DST
T,TBXT
Smarca4,SMARCA4
Zmynd11,ZMYND11
Uqcc6,UQCC6
Ptbp1,PTBP1
Brd1,BRD1
Brd2,BRD2
Brd8,BRD8
Kcnh6,KCNH6
Babam2,BABAM2
Brf1,BRF1
Brinp3,BRINP3
Brms1l,BRMS1L
Pou3f3,POU3F3
Pou3f2,POU3F2
Pou4f1,POU4F1
Pou4f3,POU4F3
Pou4f2,POU4F2
Tbc1d32,TBC1D32
Vwc2,VWC2
Vwc2l,VWC2L
Hgh1,HGH1
Mpc2,MPC2
Trp53,TP53
Brpf3,BRPF3
Mpped2,MPPED2
Celf1,CELF1
Celf5,CELF5
Apmap,APMAP
Abcb11,ABCB11
Bsn,BSN
Sptb,SPTB
Slx4,SLX4
Btbd2,BTBD2
Btbd3,BTBD3
Btbd6,BTBD6
Klf9,KLF9
Btg1,BTG1
Btg2,BTG2
Dtnb,DTNB
Trim65,TRIM65
Trim29,TRIM29
Fbxw11,FBXW11
Sp5,SP5
Prkd2,PRKD2
Dctn1,DCTN1
Sec24d,SEC24D
Popdc1,POPDC1
B2m,B2M
Phlda3,PHLDA3
Rpf2,RPF2
Rpf1,RPF1
Hoxb9,HOXB9
Hoxc9,HOXC9
Tspo2,TSPO2
Tspo,TSPO
Bzw1,BZW1
Cfap298,CFAP298
Lrmda,LRMDA
Mcmbp,MCMBP
Ado,ADO
Cdc123,CDC123
Tmem258,TMEM258
Tmem9b,TMEM9B
Aamdc,AAMDC
Myrf,MYRF
Rassf8,RASSF8
Tigar,TIGAR
C9orf72,C9orf72
Uspl1,USPL1
Gm614,CXorf65
Nrde2,NRDE2
Eapp,EAPP
Dglucy,DGLUCY
Rsl24d1,RSL24D1
Pagr1a,PAGR1
Cfap161,CFAP161
Vps9d1,VPS9D1
Miso1,MISO1
Airim,AIRIM
1600014C10Rik,C19orf12
Swsap1,SWSAP1
C1galt1,C1GALT1
Serping1,SERPING1
Odr4,ODR4
Ildr2,ILDR2
Ciart,CIART
Caprin2,CAPRIN2
C1qtnf12,C1QTNF12
C1ql3,C1QL3
C1ql1,C1QL1
C1qtnf6,C1QTNF6
Amacr,AMACR
C1qtnf4,C1QTNF4
Slc22a5,SLC22A5
Slc22a4,SLC22A4
Cfap206,CFAP206
Gid8,GID8
Mtcl2,MTCL2
Fitm2,FITM2
Ppdpf,PPDPF
Mrgbp,MRGBP
Prelid3b,PRELID3B
C2cd4d,C2CD4D
C2cd4a,C2CD4A
C2cd4b,C2CD4B
Gcnt4,GCNT4
Cnppd1,CNPPD1
Dcaf17,DCAF17
Pcare,PCARE
C3,C3
Hhatl,HHATL
Dipk2a,DIPK2A
Eogt,EOGT
2510009E07Rik,C3orf70
D3Ertd751e,C4orf33
Trappc11,TRAPPC11
Nop14,NOP14
Chst11,CHST11
Chst12,CHST12
Mtrfr,MTRFR
C6,C6
Abracl,ABRACL
Nkapl,NKAPL
Nkap,NKAP
Vta1,VTA1
Sft2d1,SFT2D1
Ltv1,LTV1
C7,C7
1700066M21Rik,C2orf69
Rpp25l,RPP25L
Ptprz1,PTPRZ1
Ca2,CA2
Ca3,CA3
Ca13,CA13
Ca1,CA1
Ca4,CA4
Ca5b,CA5B
Ca5a,CA5A
Cacnb2,CACNB2
Cacnb3,CACNB3
Cacnb4,CACNB4
Cabp1,CABP1
Cabp4,CABP4
Cabp7,CABP7
Caln1,CALN1
Cacna1a,CACNA1A
Cacna1b,CACNA1B
Cacna1d,CACNA1D
Cacna1f,CACNA1F
Cacna1i,CACNA1I
Cacna1s,CACNA1S
Cacna2d2,CACNA2D2
Cacna2d4,CACNA2D4
Cacng1,CACNG1
Cacng2,CACNG2
Cacng3,CACNG3
Cacng4,CACNG4
Dffb,DFFB
Cald1,CALD1
Cdx4,CDX4
Cdh23,CDH23
Cdh5,CDH5
Cadps,CADPS
Lama2,LAMA2
Chaf1b,CHAF1B
Pdia4,PDIA4
Atp7a,ATP7A
Calb2,CALB2
Calcb,CALCB
Calca,CALCA
Calcoco1,CALCOCO1
Calcrl,CALCRL
Calhm1,CALHM1
Calhm2,CALHM2
Calhm4,CALHM4
Rnpc3,RNPC3
Calm2,CALM2
Calm1,CALM1
Calm3,CALM3
Calml4,CALML4
Calr,CALR
Calr3,CALR3
Calu,CALU
Chl1,CHL1
Nat8b-ps,NAT8
Gch1,GCH1
Camk1d,CAMK1D
Camk1g,CAMK1G
Camk2a,CAMK2A
Camk2b,CAMK2B
Camk2d,CAMK2D
Camk2g,CAMK2G
Camk2n1,CAMK2N1
Camk2n2,CAMK2N2
Camkk1,CAMKK1
Ppm1f,PPM1F
Ppm1e,PPM1E
Camsap1,CAMSAP1
Camsap2,CAMSAP2
Camta1,CAMTA1
Cnpy3,CNPY3
Cant1,CANT1
Clgn,CLGN
Ncapd2,NCAPD2
Capg,CAPG
Capn11,CAPN11
Capn1,CAPN1
Capn3,CAPN3
Capns2,CAPNS2
Capns1,CAPNS1
Nos1ap,NOS1AP
Caprin1,CAPRIN1
Tcf21,TCF21
Capza1,CAPZA1
Capza2,CAPZA2
Cpa1,CPA1
Cpa5,CPA5
Nlrp12,NLRP12
Nlrp4e,NLRP4
Nlrp14,NLRP14
Nlrp3,NLRP3
Nod2,NOD2
Mylk3,MYLK3
Gbp10,GBP6
Cdkn2aip,CDKN2AIP
Naxd,NAXD
Carmil1,CARMIL1
Carmil2,CARMIL2
Carmil3,CARMIL3
Ca8,CA8
Cars1,CARS1
Cartpt,CARTPT
Dnai7,DNAI7
Golm2,GOLM2
Knl1,KNL1
Cask,CASK
Caskin2,CASKIN2
Casp12,CASP12
Casp1,CASP1
Casp3,CASP3
Casp6,CASP6
Casp7,CASP7
Casp8,CASP8
Cntnap1,CNTNAP1
Casr,CASR
Stil,STIL
Cdx2,CDX2
Cdx1,CDX1
Cavin4,CAVIN4
Cox5a,COX5A
Cnr1,CNR1
Pepd,PEPD
Dock2,DOCK2
Lima1,LIMA1
Hipk2,HIPK2
Chac1,CHAC1
Scarb1,SCARB1
Aco2,ACO2
Abcc4,ABCC4
Clptm1,CLPTM1
Etfa,ETFA
Nmrk2,NMRK2
Mcm4,MCM4
Smox,SMOX
Enpp6,ENPP6
Pkm,PKM
Snx8,SNX8
Cltc,CLTC
Mmp13,MMP13
Trp53inp1,TP53INP1
Cpn1,CPN1
Fhl1,FHL1
Slc20a1,SLC20A1
Ctps1,CTPS1
Fa2h,FA2H
Rabl6,RABL6
Gclc,GCLC
Tulp2,TULP2
Ivns1abp,IVNS1ABP
Pde7a,PDE7A
Mtfr1,MTFR1
Hadha,HADHA
Pdxk,PDXK
Flt4,FLT4
Tpx2,TPX2
H1f10,H1-10
Cebpa,CEBPA
Blvrb,BLVRB
Fos,FOS
Gmppb,GMPPB
Pim2,PIM2
Gsn,GSN
Cebpe,CEBPE
Rspo1,RSPO1
Homez,HOMEZ
Dnmt1,DNMT1
Myo5b,MYO5B
Ahcy,AHCY
Id1,ID1
Sgk1,SGK1
Cpvl,CPVL
Trim33,TRIM33
Spi1,SPI1
Ip6k2,IP6K2
Spag1,SPAG1
Aatf,AATF
Coro1b,CORO1B
Rrm2,RRM2
Krt12,KRT12
Krt15,KRT15
Krt14,KRT14
Krt16,KRT16
Krt17,KRT17
Krt13,KRT13
Krt19,KRT19
Foxb1,FOXB1
Slc38a2,SLC38A2
Cgn,CGN
Pabpc4,PABPC4
Tbx6,TBX6
Klf2,KLF2
Snu13,SNU13
Hes1,HES1
Nifk,NIFK
Atp1b1,ATP1B1
Rfx2,RFX2
Map3k4,MAP3K4
Ccng1,CCNG1
Atad5,ATAD5
Ftl2-ps,FTL
Clic4,CLIC4
Cts3,CTSL
Snai2,SNAI2
Dtl,DTL
Kif20b,KIF20B
Hspb1,HSPB1
Ddx18,DDX18
Slbp,SLBP
Rtca,RTCA
Pcna,PCNA
Ccnd1,CCND1
Elob,ELOB
Nop2,NOP2
Ccne2,CCNE2
Ppm1g,PPM1G
Sox15,SOX15
Tpi1,TPI1
Noxo1,NOXO1
Ppl,PPL
Pard6g,PARD6G
Crtac1,CRTAC1
Krt74,KRT74
Krt77,KRT77
Krt73,KRT73
Krt90,KRT90P
Krt71,KRT71
Krt2,KRT2
Krt84,KRT84
Krt1,KRT1
Krt4,KRT4
Krt72,KRT72
Krt7,KRT7
Krt79,KRT79
Krt75,KRT75
Krt76,KRT76
Krt8,KRT8
Dcun1d2,DCUN1D2
Ptgds,PTGDS
Yap1,YAP1
Glul,GLUL
Gadd45b,GADD45B
Pou5f2,POU5F2
Zfp36l1,ZFP36L1
Flot1,FLOT1
Myh2,MYH2
Myh4,MYH4
Myh8,MYH8
Myh1,MYH1
Yars1,YARS1
Trim71,TRIM71
Il17rd,IL17RD
Prc1,PRC1
Ktn1,KTN1
Cldn4,CLDN4
Serpinh1,SERPINH1
Dnase1l1,DNASE1L1
Phc2,PHC2
Col27a1,COL27A1
Tagln2,TAGLN2
Meis1,MEIS1
H13,HM13
Slc25a22,SLC25A22
Fgfr1,FGFR1
Bckdk,BCKDK
Sox2,SOX2
Sox11,SOX11
Desi2,DESI2
Cyp26a1,CYP26A1
Pgp,PGP
Angptl6,ANGPTL6
Jag1,JAG1
Ell2,ELL2
Lcp1,LCP1
Epha4,EPHA4
Sestd1,SESTD1
Hoxb1,HOXB1
Tecr,TECR
Shcbp1,SHCBP1
Thumpd3,THUMPD3
Tacc2,TACC2
Neurog1,NEUROG1
Sesn3,SESN3
Kdm5b,KDM5B
Zfp36,ZFP36
Ccnb1,CCNB1
Rrp36,RRP36
Dusp1,DUSP1
Igdcc4,IGDCC4
Sec13,SEC13
Abl2,ABL2
Mbp,MBP
Rfc3,RFC3
Vim,VIM
Pax6,PAX6
Copa,COPA
Tram1l1,TRAM1L1
Tram1,TRAM1
Selenof,SELENOF
Des,DES
Frzb,FRZB
Npc2,NPC2
Paics,PAICS
Cnmd,CNMD
Cnr2,CNR2
Egfl6,EGFL6
Hmcn2,HMCN2
Serpina3i,SERPINA3
Serpina1e,SERPINA1
Bcas2,BCAS2
Fcho2,FCHO2
Cited4,CITED4
Mki67,MKI67
Gap43,GAP43
Trappc13,TRAPPC13
Sidt2,SIDT2
Id2,ID2
Mthfd1,MTHFD1
Msh6,MSH6
Tnnt2,TNNT2
Prrx1,PRRX1
Cxadr,CXADR
Hoxa3,HOXA3
Neo1,NEO1
Trim34b,TRIM34
Trim75,TRIM75
Trim61,TRIM61
Trim30c,TRIM5
Trim39,TRIM39
Trim40,TRIM40
Trim6,TRIM6
Trim60,TRIM60
Rybp,RYBP
Col9a1,COL9A1
Hoxc8,HOXC8
Pinx1,PINX1
Col9a2,COL9A2
Qki,QKI
Cercam,CERCAM
Six3,SIX3
Gapdhs,GAPDHS
Abca12,ABCA12
Sec31a,SEC31A
Gstp1,GSTP1
Mbd3,MBD3
Uchl1,UCHL1
Pigq,PIGQ
Mybph,MYBPH
Rrbp1,RRBP1
Kmo,KMO
Eef2k,EEF2K
Acbd3,ACBD3
Col9a3,COL9A3
Dapl1,DAPL1
Hkdc1,HKDC1
Col18a1,COL18A1
Sall4,SALL4
Cdca8,CDCA8
Fibin,FIBIN
Ppp1r13b,PPP1R13B
Colec12,COLEC12
Pax2,PAX2
Cebpb,CEBPB
Tomm22,TOMM22
Col14a1,COL14A1
Fzd2,FZD2
Mmp14,MMP14
Rspo3,RSPO3
Cldn7,CLDN7
Slc38a7,SLC38A7
Slc44a2,SLC44A2
Unc45b,UNC45B
St8sia2,ST8SIA2
Rrm1,RRM1
Pmel,PMEL
Tenm3,TENM3
Sccpdh,SCCPDH
Lama5,LAMA5
Cxcr4,CXCR4
Esrp2,ESRP2
